,IDcliente,CHURN,GENERO_CLIENTE,ADULTO_MAYOR,CON_PAREJA,CLIENTE_CON_DEPENDIENTE,ANTIGUEDAD_CLIENTE,SERVICIO_TELEFONO,MULTIPLES_LINEAS,S_INTERNET,SEGURIDAD_ONLINE,RESPALDO_ONLINE,PROTECCION_DISPOSITIVOS,SOPORTE_TECNICO,TV_STREAMING,PELICULAS_STREAMING,CONTRATO,BOLETA_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,Cuentas_Diarias
89,0137-UDEUO,Si,Mujer,0,No,No,3,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,0.66
90,0139-IVFJG,No,Mujer,0,Si,No,2,Si,No,Fiber optic,Si,Si,No,No,Si,No,Month-to-month,No,Electronic check,90.35,190.5,3.01
91,0141-YEAYS,No,Mujer,1,No,No,27,Si,Si,Fiber optic,No,Si,Si,No,No,No,Month-to-month,Si,Bank transfer (automatic),86.45,2401.05,2.88
92,0142-GVYSN,No,Hombre,0,No,No,26,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Electronic check,20.3,511.25,0.68
93,0147-ESWWR,No,Mujer,1,Si,No,39,Si,Si,Fiber optic,No,No,No,Si,Si,Si,Month-to-month,Si,Electronic check,101.25,3949.15,3.38
94,0148-DCDOS,Si,Hombre,0,No,No,25,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),94.7,2362.1,3.16
95,0151-ONTOV,Si,Mujer,0,No,No,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,2.36
97,0156-FVPTA,Si,Hombre,0,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Month-to-month,Si,Electronic check,54.2,1152.7,1.81
99,0164-APGRB,No,Mujer,0,No,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Electronic check,114.9,8496.7,3.83
100,0164-XAIRP,No,Mujer,0,No,No,24,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),19.55,470.2,0.65
101,0168-XZKBB,No,Mujer,0,Si,No,19,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,86.85,1564.4,2.9
102,0174-QRVVY,No,Hombre,0,Si,Si,71,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,0.85
103,0177-PXBAT,No,Hombre,1,Si,No,33,Si,Si,Fiber optic,Si,No,Si,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),109.9,3694.7,3.66
104,0178-CIIKR,No,Mujer,0,No,No,3,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,0.66
105,0178-SZBHO,No,Hombre,0,Si,Si,47,Si,Si,Fiber optic,No,Si,No,No,Si,No,Month-to-month,No,Electronic check,87.2,4017.45,2.91
106,0181-RITDD,No,Hombre,0,Si,Si,62,Si,No,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,No,Mailed check,108.15,6825.65,3.6
107,0186-CAERR,No,Hombre,0,No,No,71,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),116.3,8309.55,3.88
108,0187-QSXOE,No,Hombre,1,Si,No,7,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,89.0,605.45,2.97
109,0187-WZNAB,No,Mujer,0,Si,Si,27,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,2.48
110,0188-GWFLE,No,Hombre,0,No,No,2,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,0.67
111,0191-EQUUH,No,Mujer,0,No,Si,25,No,No phone service,DSL,Si,No,No,Si,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,1.17
112,0191-ZHSKZ,No,Hombre,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Month-to-month,Si,Electronic check,74.75,2111.3,2.49
113,0193-ESZXP,Si,Mujer,1,Si,No,58,Si,No,Fiber optic,Si,Si,No,Si,Si,Si,One year,Si,Credit card (automatic),105.5,6205.5,3.52
114,0195-IESCP,Si,Hombre,0,Si,No,10,Si,Si,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,85.25,855.3,2.84
115,0196-JTUQI,No,Mujer,0,No,No,9,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Credit card (automatic),75.2,633.85,2.51
116,0196-VULGZ,Si,Mujer,1,Si,No,6,Si,Si,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,84.35,474.9,2.81
117,0197-PNKNK,No,Mujer,0,Si,Si,69,Si,Si,Fiber optic,Si,No,Si,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,2.82
118,0201-MIBOL,No,Mujer,1,No,No,66,Si,Si,Fiber optic,Si,No,No,No,Si,Si,Two year,Si,Bank transfer (automatic),102.4,6471.85,3.41
119,0201-OAMXR,Si,Mujer,0,No,No,70,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,One year,No,Credit card (automatic),115.55,8127.6,3.85
120,0203-HHYIJ,Si,Hombre,0,No,No,25,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.3,676.35,0.84
121,0206-OYVOC,No,Mujer,0,Si,Si,46,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Mailed check,19.25,864.2,0.64
122,0206-TBWLC,No,Mujer,0,Si,No,54,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,One year,Si,Mailed check,114.65,6049.5,3.82
123,0207-MDKNV,Si,Mujer,0,No,No,15,Si,No,Fiber optic,Si,No,Si,Si,Si,Si,Month-to-month,No,Electronic check,105.1,1582.75,3.5
124,0208-BPQEJ,No,Mujer,0,Si,Si,12,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,198.1,0.65
125,0212-ISBBF,No,Mujer,0,No,No,22,No,No phone service,DSL,No,Si,No,No,Si,Si,Month-to-month,Si,Electronic check,50.35,1098.85,1.68
126,0214-JHPFW,No,Mujer,0,Si,No,70,No,No phone service,DSL,No,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),57.8,4039.3,1.93
127,0215-BQKGS,No,Hombre,0,No,No,30,Si,No,Fiber optic,Si,Si,Si,No,No,No,Month-to-month,Si,Credit card (automatic),84.3,2438.6,2.81
128,0218-QNVAS,No,Hombre,0,Si,Si,71,Si,Si,Fiber optic,No,Si,No,No,Si,Si,One year,No,Bank transfer (automatic),100.55,7113.75,3.35
129,0219-QAERP,No,Hombre,0,Si,No,30,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,0.66
130,0219-YTZUE,Si,Hombre,0,Si,Si,4,Si,Si,Fiber optic,No,Si,Si,No,No,No,Month-to-month,Si,Bank transfer (automatic),84.8,371.9,2.83
131,0220-EBGCE,Si,Hombre,0,No,No,2,Si,No,Fiber optic,No,No,Si,No,No,Si,Month-to-month,Si,Electronic check,85.85,167.3,2.86
132,0221-NAUXK,No,Hombre,0,No,Si,10,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Si,Bank transfer (automatic),19.95,219.5,0.66
133,0221-WMXNQ,No,Hombre,1,No,No,4,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,2.51
134,0222-CNVPT,No,Hombre,1,No,No,52,No,No phone service,DSL,Si,No,No,No,Si,Si,Month-to-month,Si,Credit card (automatic),48.8,2555.05,1.63
135,0224-HJAPT,Si,Hombre,0,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,1.57
136,0224-NIJLP,No,Hombre,0,Si,Si,8,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,165.5,0.67
137,0224-RLWWD,No,Mujer,1,No,No,2,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,44.3,89.3,1.48
138,0225-ZORZP,No,Hombre,0,No,No,3,Si,No,Fiber optic,No,Si,No,No,No,Si,Month-to-month,No,Electronic check,84.3,235.05,2.81
139,0228-MAUWC,No,Hombre,0,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Month-to-month,No,Electronic check,59.55,1144.6,1.98
140,0229-LFJAF,No,Hombre,0,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,2.32
141,0230-UBYPQ,No,Hombre,1,Si,No,63,No,No phone service,DSL,Si,No,No,Si,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,1.2
142,0230-WEQUW,No,Hombre,0,Si,No,66,No,No phone service,DSL,Si,Si,Si,Si,Si,No,Two year,Si,Bank transfer (automatic),56.6,3789.2,1.89
143,0231-LXVAP,Si,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,No,Si,No,No,Month-to-month,Si,Electronic check,75.9,75.9,2.53
144,0233-FTHAV,No,Mujer,0,No,No,60,Si,Si,Fiber optic,No,No,Si,No,No,No,One year,Si,Bank transfer (automatic),79.2,4765.0,2.64
145,0234-TEVTT,No,Mujer,0,Si,Si,48,No,No phone service,DSL,Si,No,Si,No,No,Si,One year,No,Credit card (automatic),45.0,2196.3,1.5
146,0235-KGSLC,Si,Mujer,0,No,No,1,Si,No,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Credit card (automatic),85.55,85.55,2.85
147,0236-HFWSV,Si,Hombre,0,No,No,15,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,93.35,1444.65,3.11
148,0237-YFUTL,No,Mujer,0,Si,No,50,Si,Si,Fiber optic,Si,Si,No,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),109.65,5405.8,3.66
149,0238-WHBIQ,No,Hombre,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),89.7,6339.3,2.99
150,0239-OXEXL,No,Mujer,0,No,No,46,Si,Si,Fiber optic,Si,Si,No,No,No,No,Month-to-month,No,Mailed check,84.25,3847.6,2.81
151,0244-LGNFY,No,Mujer,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),92.65,6733.0,3.09
152,0247-SLUJI,No,Hombre,0,Si,Si,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,19.7,0.66
153,0248-IPDFW,No,Mujer,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,50.1,50.1,1.67
154,0248-PGHBZ,No,Mujer,1,No,No,67,Si,No,Fiber optic,Si,Si,No,Si,Si,No,Two year,Si,Bank transfer (automatic),92.45,6140.85,3.08
155,0253-ZTEOB,No,Mujer,0,Si,Si,48,Si,Si,DSL,No,Si,No,Si,Si,Si,Two year,No,Electronic check,79.65,3870.3,2.66
156,0254-FNMCI,No,Mujer,0,No,No,72,Si,No,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Electronic check,109.9,7624.2,3.66
157,0254-KCJGT,No,Hombre,0,Si,No,52,Si,Si,DSL,Si,Si,Si,Si,No,Si,One year,Si,Credit card (automatic),81.4,4354.45,2.71
158,0254-WWRKD,No,Mujer,0,Si,Si,67,Si,No,DSL,No,Si,No,No,No,No,One year,No,Credit card (automatic),50.55,3431.75,1.68
159,0256-LTHVJ,Si,Mujer,0,Si,Si,28,Si,No,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,81.05,2227.1,2.7
160,0257-KXZGU,No,Mujer,0,Si,Si,32,Si,Si,DSL,No,Si,Si,No,No,No,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,2.08
161,0257-ZESQC,Si,Mujer,1,Si,No,27,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),75.2,1929.35,2.51
162,0258-NOKBL,No,Hombre,0,No,No,3,Si,No,Fiber optic,No,Si,Si,No,No,Si,Month-to-month,No,Electronic check,90.4,268.45,3.01
163,0259-GBZSH,Si,Hombre,0,No,No,2,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,85.65,181.5,2.86
